游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,603003.SH,退市龙宇,"1,188,221.00",,"1,188,221.00",净买入,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部
,600387.SH,退市海越,,"616,836.00","-616,836.00",净卖出,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部
,,,,,,,
【机构专用】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300468.SZ,四方精创,"168,664,919.00","83,696,763.00","84,968,156.00",净买入,机构专用
,002615.SZ,哈尔斯,"4,758,216.00","63,157,876.00","-58,399,660.00",净卖出,机构专用
,002731.SZ,萃华珠宝,"139,386,753.00","83,917,324.00","55,469,429.00",净买入,机构专用
,601975.SH,招商南油,,"53,273,964.72","-53,273,964.72",净卖出,机构专用
,002294.SZ,信立泰,"67,986,663.00","119,830,095.00","-51,843,432.00",净卖出,机构专用
,300457.SZ,赢合科技,"52,931,059.00","5,462,648.00","47,468,411.00",净买入,机构专用
,300164.SZ,通源石油,"88,417,666.00","47,316,959.00","41,100,707.00",净买入,机构专用
,002878.SZ,元隆雅图,"18,777,896.00","57,107,922.00","-38,330,026.00",净卖出,机构专用
,002104.SZ,恒宝股份,"41,501,556.00","4,529,361.00","36,972,195.00",净买入,机构专用
,301141.SZ,中科磁业,"13,396,286.00","42,582,645.00","-29,186,359.00",净卖出,机构专用
,000701.SZ,厦门信达,"4,298,267.00","32,981,785.00","-28,683,518.00",净卖出,机构专用
,300581.SZ,晨曦航空,"189,210,810.00","160,782,475.00","28,428,335.00",净买入,机构专用
,301357.SZ,北方长龙,"48,759,350.00","20,717,995.00","28,041,355.00",净买入,机构专用
,002828.SZ,贝肯能源,"34,763,972.00","8,471,662.00","26,292,310.00",净买入,机构专用
,688291.SH,金橙子,"25,740,032.73",,"25,740,032.73",净买入,机构专用
,300941.SZ,创识科技,"45,922,955.00","24,071,918.00","21,851,037.00",净买入,机构专用
,301665.SZ,泰禾股份,"14,728,494.00","36,327,080.00","-21,598,586.00",净卖出,机构专用
,300157.SZ,新锦动力,"47,950,812.00","26,891,797.00","21,059,015.00",净买入,机构专用
,002181.SZ,粤 传 媒,"26,061,428.00","44,926,938.00","-18,865,510.00",净卖出,机构专用
,603585.SH,苏利股份,,"18,753,400.00","-18,753,400.00",净卖出,机构专用
,002235.SZ,安妮股份,"69,509,169.00","51,771,366.00","17,737,803.00",净买入,机构专用
,002366.SZ,融发核电,"15,532,330.00","32,167,064.00","-16,634,734.00",净卖出,机构专用
,000554.SZ,泰山石油,"36,013,021.00","19,734,954.00","16,278,067.00",净买入,机构专用
,300546.SZ,雄帝科技,"6,612,747.00","21,886,169.00","-15,273,422.00",净卖出,机构专用
,603716.SH,塞力医疗,"14,609,154.00",,"14,609,154.00",净买入,机构专用
,002678.SZ,珠江钢琴,"14,503,104.00",,"14,503,104.00",净买入,机构专用
,603538.SH,美诺华,,"14,228,977.79","-14,228,977.79",净卖出,机构专用
,002951.SZ,金时科技,,"10,416,229.00","-10,416,229.00",净卖出,机构专用
,688573.SH,信宇人,"10,177,856.20",,"10,177,856.20",净买入,机构专用
,601718.SH,际华集团,,"8,820,852.00","-8,820,852.00",净卖出,机构专用
,300753.SZ,爱朋医疗,,"8,267,321.00","-8,267,321.00",净卖出,机构专用
,002177.SZ,御银股份,"186,419,846.00","194,330,223.00","-7,910,377.00",净卖出,机构专用
,002554.SZ,惠博普,"19,196,670.00","14,979,940.00","4,216,730.00",净买入,机构专用
,920082.BJ,方正阀门,"939,564.31","5,099,123.41","-4,159,559.10",净卖出,机构专用
,836221.BJ,易实精密,"2,142,301.94","6,157,754.87","-4,015,452.93",净卖出,机构专用
,600792.SH,云煤能源,"7,961,362.37","10,108,459.00","-2,147,096.63",净卖出,机构专用
,002141.SZ,*ST贤丰,"14,674,371.00","12,643,909.00","2,030,462.00",净买入,机构专用
,300016.SZ,北陆药业,"12,439,114.00","10,629,735.00","1,809,379.00",净买入,机构专用
,839719.BJ,宁新新材,"5,534,517.98","4,060,465.07","1,474,052.91",净买入,机构专用
,002336.SZ,人乐退,,"301,065.00","-301,065.00",净卖出,机构专用
,,,,,,,
【欢乐海岸】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002898.SZ,*ST赛隆,"3,265,828.00","4,927,459.00","-1,661,631.00",净卖出,国金证券股份有限公司深圳湾一号证券营业部
,,,,,,,
【沪股通专用】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,605099.SH,共创草坪,,"27,493,889.50","-27,493,889.50",净卖出,沪股通专用
,605198.SH,安德利,"14,661,003.00","29,832,889.10","-15,171,886.10",净卖出,沪股通专用
,601718.SH,际华集团,"21,587,143.00","34,981,325.00","-13,394,182.00",净卖出,沪股通专用
,603322.SH,超讯通信,"26,014,769.00","22,245,673.80","3,769,095.20",净买入,沪股通专用
,601975.SH,招商南油,"37,109,158.20","40,415,614.88","-3,306,456.68",净卖出,沪股通专用
,601022.SH,宁波远洋,"32,898,833.00","33,555,219.00","-656,386.00",净卖出,沪股通专用
,,,,,,,
【消闲派】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300773.SZ,拉卡拉,"129,293,007.00","1,923,283.00","127,369,724.00",净买入,国泰海通证券股份有限公司宜昌沿江大道证券营业部
,601975.SH,招商南油,"61,842,860.00",,"61,842,860.00",净买入,国泰海通证券股份有限公司宜昌沿江大道证券营业部
,300457.SZ,赢合科技,"42,855,933.00",,"42,855,933.00",净买入,国泰海通证券股份有限公司宜昌沿江大道证券营业部
,603585.SH,苏利股份,,"33,387,155.00","-33,387,155.00",净卖出,国泰海通证券股份有限公司宜昌沿江大道证券营业部
,002017.SZ,东信和平,"52,267,834.00","56,433,230.00","-4,165,396.00",净卖出,国泰海通证券股份有限公司宜昌沿江大道证券营业部
,600281.SH,华阳新材,"42,054,869.00","40,606,710.72","1,448,158.28",净买入,国泰海通证券股份有限公司宜昌沿江大道证券营业部
,,,,,,,
【涪陵广场路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002615.SZ,哈尔斯,"26,852.00","72,412,317.00","-72,385,465.00",净卖出,方正证券股份有限公司重庆金开大道证券营业部
,,,,,,,
【深股通专用】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300773.SZ,拉卡拉,"404,683,485.00","278,023,534.00","126,659,951.00",净买入,深股通专用
,300468.SZ,四方精创,"576,547,958.00","531,840,660.00","44,707,298.00",净买入,深股通专用
,002366.SZ,融发核电,"81,940,908.00","123,536,562.00","-41,595,654.00",净卖出,深股通专用
,300457.SZ,赢合科技,"48,043,665.00","19,774,570.00","28,269,095.00",净买入,深股通专用
,300581.SZ,晨曦航空,"328,724,727.00","306,110,592.00","22,614,135.00",净买入,深股通专用
,002181.SZ,粤 传 媒,"91,935,634.00","69,798,947.00","22,136,687.00",净买入,深股通专用
,002294.SZ,信立泰,"46,441,721.00","36,586,756.00","9,854,965.00",净买入,深股通专用
,002104.SZ,恒宝股份,"220,750,376.00","213,553,455.00","7,196,921.00",净买入,深股通专用
,002017.SZ,东信和平,"46,218,424.00","52,843,531.00","-6,625,107.00",净卖出,深股通专用
,301665.SZ,泰禾股份,"37,194,217.00","31,331,857.00","5,862,360.00",净买入,深股通专用
,002678.SZ,珠江钢琴,"9,931,357.00","10,848,297.00","-916,940.00",净卖出,深股通专用
,,,,,,,
【温州帮】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
