id,created,updated,hm_name,trade_date,hm_orgs,ts_code,ts_name,buy_amount,sell_amount,net_amount,tag
150653,2025-06-18 10:23:02.545306,2025-06-18 10:23:02.545314,涪陵广场路,20250617,方正证券股份有限公司重庆金开大道证券营业部,002615.SZ,哈尔斯,26852.0,72412317.0,-72385465.0,
150654,2025-06-18 10:23:02.545379,2025-06-18 10:23:02.545387,消闲派,20250617,国泰海通证券股份有限公司宜昌沿江大道证券营业部,002017.SZ,东信和平,52267834.0,56433230.0,-4165396.0,
150655,2025-06-18 10:23:02.545450,2025-06-18 10:23:02.545458,消闲派,20250617,国泰海通证券股份有限公司宜昌沿江大道证券营业部,601975.SH,招商南油,61842860.0,0.0,61842860.0,
150656,2025-06-18 10:23:02.545521,2025-06-18 10:23:02.545529,消闲派,20250617,国泰海通证券股份有限公司宜昌沿江大道证券营业部,600281.SH,华阳新材,42054869.0,40606710.72,1448158.28,
150657,2025-06-18 10:23:02.545592,2025-06-18 10:23:02.545599,消闲派,20250617,国泰海通证券股份有限公司宜昌沿江大道证券营业部,603585.SH,苏利股份,0.0,33387155.0,-33387155.0,
150658,2025-06-18 10:23:02.545662,2025-06-18 10:23:02.545670,消闲派,20250617,国泰海通证券股份有限公司宜昌沿江大道证券营业部,300457.SZ,赢合科技,42855933.0,0.0,42855933.0,
150659,2025-06-18 10:23:02.545733,2025-06-18 10:23:02.545741,消闲派,20250617,国泰海通证券股份有限公司宜昌沿江大道证券营业部,300773.SZ,拉卡拉,129293007.0,1923283.0,127369724.0,
150660,2025-06-18 10:23:02.545804,2025-06-18 10:23:02.545812,沪股通专用,20250617,沪股通专用,601718.SH,际华集团,21587143.0,34981325.0,-13394182.0,
150661,2025-06-18 10:23:02.545875,2025-06-18 10:23:02.545882,沪股通专用,20250617,沪股通专用,601975.SH,招商南油,37109158.2,40415614.88,-3306456.68,
150662,2025-06-18 10:23:02.545951,2025-06-18 10:23:02.545959,沪股通专用,20250617,沪股通专用,603322.SH,超讯通信,26014769.0,22245673.8,3769095.2,
150663,2025-06-18 10:23:02.546023,2025-06-18 10:23:02.546031,沪股通专用,20250617,沪股通专用,605099.SH,共创草坪,0.0,27493889.5,-27493889.5,
150664,2025-06-18 10:23:02.546097,2025-06-18 10:23:02.546105,沪股通专用,20250617,沪股通专用,605198.SH,安德利,14661003.0,29832889.1,-15171886.1,
150665,2025-06-18 10:23:02.546167,2025-06-18 10:23:02.546175,沪股通专用,20250617,沪股通专用,601022.SH,宁波远洋,32898833.0,33555219.0,-656386.0,
150666,2025-06-18 10:23:02.546236,2025-06-18 10:23:02.546244,欢乐海岸,20250617,国金证券股份有限公司深圳湾一号证券营业部,002898.SZ,*ST赛隆,3265828.0,4927459.0,-1661631.0,
150667,2025-06-18 10:23:02.546307,2025-06-18 10:23:02.546315,机构专用,20250617,机构专用,002104.SZ,恒宝股份,41501556.0,4529361.0,36972195.0,
150668,2025-06-18 10:23:02.546376,2025-06-18 10:23:02.546384,机构专用,20250617,机构专用,002366.SZ,融发核电,15532330.0,32167064.0,-16634734.0,
150669,2025-06-18 10:23:02.546446,2025-06-18 10:23:02.546454,机构专用,20250617,机构专用,002828.SZ,贝肯能源,34763972.0,8471662.0,26292310.0,
150670,2025-06-18 10:23:02.546516,2025-06-18 10:23:02.546524,机构专用,20250617,机构专用,601718.SH,际华集团,0.0,8820852.0,-8820852.0,
150671,2025-06-18 10:23:02.546586,2025-06-18 10:23:02.546593,机构专用,20250617,机构专用,601975.SH,招商南油,0.0,53273964.72,-53273964.72,
150672,2025-06-18 10:23:02.546655,2025-06-18 10:23:02.546663,机构专用,20250617,机构专用,000701.SZ,厦门信达,4298267.0,32981785.0,-28683518.0,
150673,2025-06-18 10:23:02.546723,2025-06-18 10:23:02.546731,机构专用,20250617,机构专用,002294.SZ,信立泰,67986663.0,119830095.0,-51843432.0,
150674,2025-06-18 10:23:02.546792,2025-06-18 10:23:02.546799,机构专用,20250617,机构专用,002615.SZ,哈尔斯,4758216.0,63157876.0,-58399660.0,
150675,2025-06-18 10:23:02.546860,2025-06-18 10:23:02.546867,机构专用,20250617,机构专用,002731.SZ,萃华珠宝,139386753.0,83917324.0,55469429.0,
150676,2025-06-18 10:23:02.546927,2025-06-18 10:23:02.546935,机构专用,20250617,机构专用,002878.SZ,元隆雅图,18777896.0,57107922.0,-38330026.0,
150677,2025-06-18 10:23:02.546994,2025-06-18 10:23:02.547002,机构专用,20250617,机构专用,000554.SZ,泰山石油,36013021.0,19734954.0,16278067.0,
